#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-0.28579825581483376 0.6592905697712956 25 0 0 79.6782 -1.12922 13 33 1 0 1 0 0 0 0 0 0 0.0997802 25.0409 0 0 0 -2.16622 1.45165 0 -1.25947 38.9365
2.0080471823388573 2.97092537483172 25 0 0 85.7002 0.313425 13 34 1 0 1 0 0 0 0 0 0 0.0961879 25.2697 0 0 0 -1.49787 1.46034 0 0.18547 39.739
-0.1828624936183787 -0.22106565126262032 25 0 0 79.8309 0.478802 13 35 1 0 1 0 0 0 0 0 0 0.0994319 25.099 0 0 0 -2.15661 1.53472 0 0.348686 39.64
-0.7145538799200886 2.5998937266684266 25 0 0 82.423 1.58408 13 36 1 0 1 0 0 0 0 0 0 0.0970968 25.1099 0 0 0 -1.33355 0.369046 0 1.45574 40.1772
2.9314602884621834 2.6685490415969997 25 0 0 86.7802 -0.271107 13 37 1 0 1 0 0 0 0 0 0 0.0963023 25.796 0 0 0 -2.24242 -0.370275 0 -0.400294 40.3551
-0.3283435066319377 -3.7029862190748477 25 0 0 91.8969 0.266038 13 38 1 0 1 0 0 0 0 0 0 0.0927974 25.0433 0 0 0 1.13949 -3.35508 0 0.141165 38.7546
2.101870665918733 3.2185677055333626 25 0 0 87.7773 1.26581 13 39 1 0 1 0 0 0 0 0 0 0.0947933 25.4651 0 0 0 -2.17783 2.24545 0 1.13849 40.5348
-0.8192214347127988 -0.5346504444507506 25 0 0 100.011 -0.0950337 13 40 1 0 1 0 0 0 0 0 0 0.087978 25.3025 0 0 0 3.80886 2.98489 0 -0.21695 40.8617
1.5049631595523558 3.6440888448366606 25 0 0 73.4475 -0.573308 13 41 1 0 1 0 0 0 0 0 0 0.104455 25.244 0 0 0 -3.54229 0.963056 0 -0.707689 39.4075
2.9859633821760525 2.372074364300844 25 0 0 96.8032 -0.158809 13 42 1 0 1 0 0 0 0 0 0 0.0906409 25.518 0 0 0 0.467959 0.896777 0 -0.283152 39.6559
-0.6354377637700821 2.395163670447474 25 0 0 84.3038 -0.762165 13 43 1 0 1 0 0 0 0 0 0 0.0967263 25.1257 0 0 0 0.51089 3.91101 0 -0.890235 39.9128
-1.9586887685380239 3.6025758229328004 25 0 0 91.6667 1.27426 13 44 1 0 1 0 0 0 0 0 0 0.0925479 25.1918 0 0 0 2.09556 3.50002 0 1.14924 39.5175
-0.4889695925112404 4.30354767489572 25 0 0 89.7986 -0.434866 13 45 1 0 1 0 0 0 0 0 0 0.0938482 25.5148 0 0 0 0.226779 -0.700703 0 -0.561587 40.1833
0.8074060378763342 2.298129300420143 25 0 0 82.8696 0.0527444 13 46 1 0 1 0 0 0 0 0 0 0.0975718 25.16 0 0 0 -2.22586 0.393561 0 -0.0760571 40.3227
-0.6883778064281014 2.191092135161101 25 0 0 99.4565 0.199435 13 47 1 0 1 0 0 0 0 0 0 0.0884586 25.098 0 0 0 4.0872 1.78002 0 0.0776417 39.9644
0.3919577497915405 -0.7337438802386499 25 0 0 96.9186 -1.25991 13 48 1 0 1 0 0 0 0 0 0 0.0900481 25.228 0 0 0 2.20453 2.63253 0 -1.38316 39.7535
0.659227695518033 -1.374065957480449 25 0 0 97.0498 0.442285 13 49 1 0 1 0 0 0 0 0 0 0.0903655 25.0248 0 0 0 2.65 -2.46125 0 0.319265 38.519
1.7680982258771212 -0.6400994783188709 25 0 0 61.0497 0.149882 13 50 1 0 1 0 0 0 0 0 0 0.11422 25.5645 0 0 0 -5.74586 4.2261 0 0.00688444 39.3321
-1.1146851912399196 -2.405765573425057 25 0 0 83.4877 0.927767 13 51 1 0 1 0 0 0 0 0 0 0.097436 25.7782 0 0 0 -0.718472 3.81105 0 0.797732 40.934
